AAL,American Airlines Group Inc,American Airlines
AAPL,Apple Inc,Apple
ADBE,Adobe Systems Inc,Adobe
ADI,Analog Devices Inc,Analog Devices
ADP,Automatic Data Processing Inc,Automatic Data Processing
ADSK,Autodesk Inc,Autodesk
AKAM,Akamai Technologies Inc,Akamai
ALXN,Alexion Pharmaceuticals Inc,Alexion
AMAT,Applied Materials Inc,Applied Materials
AMGN,Amgen Inc,Amgen
AMZN,Amazon.com Inc,Amazon
ATVI,Activision Blizzard Inc,Activision
AVGO,Broadcom Ltd,Broadcom
BBBY,Bed Bath & Beyond Inc,Bed Bath & Beyond
BIDU,Baidu Inc,Baidu
BIIB,Biogen Inc,Biogen
BMRN,Biomarin Pharmaceutical Inc,Biomarin Pharmaceutical
CA,CA Inc,CA
CELG,Celgene Corp,Celgene
CERN,Cerner Corp,Cerner
CHKP,Check Point Software Technologies Ltd,Check Point Software
CHTR,Charter Communications Inc,Charter Communications
CMCSA,Comcast Corp,Comcast
COST,Costco Wholesale Corp,Costco
CSCO,Cisco Systems Inc,Cisco
CSX,CSX Corp,CSX
CTRP,Ctrip.Com International Ltd,Ctrip
CTSH,Cognizant Technology Solutions Corp,Cognizant
CTXS,Citrix Systems Inc,Citrix
DISCA,Discovery Communications Inc,Discovery Communications
DISCK,Discovery Communications Inc,Discovery Communications
DISH,DISH Network Corp,DISH Network
DLTR,Dollar Tree Inc,Dollar Tree
EA,Electronic Arts,Electronic Arts
EBAY,eBay Inc,eBay
ESRX,Express Scripts Holding Co,Express Scripts
EXPE,Expedia Inc,Expedia
FAST,Fastenal Co,Fastenal
FB,Facebook,Facebook
FISV,Fiserv Inc,Fiserv
FOX,21st Century Fox Class B,21st Century Fox
FOXA,21st Century Fox Class A,21st Century Fox
GILD,Gilead Sciences Inc,Gilead
GOOGL,Alphabet Class A,Alphabet
HSIC,Henry Schein Inc,Henry Schein
ILMN,Illumina Inc,Illumina
INCY,Incyte Corp,Incyte
INTC,Intel Corp,Intel
INTU,Intuit Inc,Intuit
ISRG,Intuitive Surgical Inc,Intuitive Surgical
JD,JD.com Inc,JD.com
KHC,Kraft Heinz Co,Kraft Heinz
LBTYA,Liberty Global PLC,Liberty Global PLC
LBTYK,Liberty Global PLC,Liberty Global PLC
LLTC,Linear Technology Corp,Linear Technology
LRCX,Lam Research Corp,Lam Research
LVNTA,Liberty Interactive Corp,Liberty Interactive
MAR,Marriott International Inc,Marriott
MAT,Mattel Inc,Mattel
MCHP,Microchip Technology Inc,Microchip Technology
MDLZ,Mondelez International Inc,Mondelez
MNST,Monster Beverage Corp,Monster Beverage
MSFT,Microsoft Corp,Microsoft
MU,Micron Technology Inc,Micron Technology
MXIM,Maxim Integrated Products Inc,Maxim Integrated Products
MYL,Mylan NV,Mylan
NCLH,Norwegian Cruise Line Holdings Ltd,Norwegian Cruise Line
NFLX,Netflix Inc,Netflix
NTAP,NetApp Inc,NetApp
NTES,NetEase Inc,NetEase
NVDA,NVIDIA Corp,NVIDIA
NXPI,NXP Semiconductors NV,NXP Semiconductors
ORLY,O'Reilly Automotive Inc,O'Reilly
PAYX,Paychex Inc,Paychex
PCAR,PACCAR Inc,PACCAR
PCLN,The Priceline Group,Priceline
PYPL,PayPal Holdings Inc,PayPal
QCOM,Qualcomm Inc,Qualcomm
QVCA,Liberty Interactive Corp,Liberty Interactive
REGN,Regeneron Pharmaceuticals Inc,Regeneron
ROST,Ross Stores Inc,Ross Stores
SBAC,SBA Communications Corp,SBA Communications
SBUX,Starbucks Corp,Starbucks
SIRI,Sirius XM Holdings Inc,Sirius XM
SRCL,Stericycle Inc,Stericycle
STX,Seagate Technology PLC,Seagate
SWKS,Skyworks Solutions Inc,Skyworks
SYMC,Symantec Corp,Symantec
TMUS,T-Mobile US Inc,T-Mobile
TRIP,TripAdvisor Inc,TripAdvisor
TSCO,Tractor Supply Co,Tractor Supply
TSLA,Tesla Motors Inc,Tesla Motors
TXN,Texas Instruments Inc,Texas Instruments
ULTA,Ulta Salon Cosmetics and Fragrance Inc,Ulta
VIAB,Viacom Inc,Viacom
VOD,Vodafone Group PLC,Vodafone
VRSK,Verisk Analytics Inc,Verisk
VRTX,Vertex Pharmaceuticals Inc,Vertex Pharmaceuticals
WBA,Walgreens Boots Alliance Inc,Walgreens
WDC,Western Digital Corp,Western Digital
WFM,Whole Foods Market Inc,Whole Foods
XLNX,Xilinx Inc,Xilinx
YHOO,Yahoo Inc,Yahoo
XRAY,Dentsply Sirona Inc,Dentsply Sirona
